timesteps_total,custom_metrics/game_result/num_pass_attempts_mean,custom_metrics/game_result/num_pass_success_mean,custom_metrics/game_result/score_reward_episode_mean,custom_metrics/game_result/win_percentage_episode_mean,sampler_perf/mean_raw_obs_processing_ms,sampler_perf/mean_inference_ms,sampler_perf/mean_action_processing_ms
506800,63.3,0.28,-0.15,0.01,0.34765706,4.140676452,0.107662945
509600,66.77,0.32,-0.14,0.01,0.347530058,4.145676868,0.107678574
512400,63.2,0.29,-0.12,0.01,0.347790943,4.142527764,0.107714599
515200,61.74,0.27,-0.12,0.01,0.347429358,4.144180919,0.10769657
518000,63.54,0.3,-0.13,0.01,0.347224911,4.137077231,0.107627792
520800,62.33,0.32,-0.11,0.01,0.347100385,4.134929969,0.107642832
523600,62.18,0.27,-0.11,0.01,0.346885751,4.137610923,0.107661375
526400,63.26,0.27,-0.08,0.01,0.346830011,4.137892838,0.107647004
529200,60.86,0.33,-0.08,0.01,0.346826305,4.133663382,0.107645193
532000,62.7,0.4,-0.11,0,0.34655235,4.134071105,0.107613503
534800,60.14,0.42,-0.13,0,0.346362373,4.137984891,0.10764388
537600,58.15,0.43,-0.12,0,0.346349675,4.133909594,0.107594711
540400,56.14,0.48,-0.13,0,0.346953166,4.131330152,0.107666686
543200,56.46,0.52,-0.14,0,0.346569907,4.131844885,0.107631309
546000,55.32,0.59,-0.16,0,0.346560588,4.13299164,0.107650609
548800,52.89,0.6,-0.2,0,0.346556462,4.132610459,0.107630914
551600,50.78,0.55,-0.22,0.01,0.346673405,4.132023195,0.107645374
554400,51.85,0.57,-0.21,0.01,0.346903872,4.133396319,0.107702752
557200,51.82,0.53,-0.23,0.01,0.347188306,4.127441558,0.107656593
560000,53.45,0.52,-0.25,0.01,0.347160143,4.127682138,0.107699299
562800,55.72,0.46,-0.21,0.01,0.347000977,4.129839082,0.107661511
565600,58.09,0.44,-0.21,0.01,0.347090734,4.125279125,0.107654819
568400,59.6,0.44,-0.19,0.02,0.34749135,4.123790352,0.107663572
571200,56.85,0.44,-0.2,0.02,0.347510945,4.128070418,0.107688645
574000,57.03,0.4,-0.19,0.01,0.347149389,4.122758881,0.107613259
576800,53.52,0.38,-0.19,0.01,0.347186413,4.12021036,0.107619945
579600,55.57,0.37,-0.18,0.01,0.347298047,4.125059415,0.107666361
582400,54.6,0.41,-0.18,0.01,0.347026132,4.12093099,0.107558784
585200,50.3,0.44,-0.17,0.01,0.347255904,4.125479264,0.107604418
588000,47.13,0.42,-0.16,0.01,0.34708186,4.122488574,0.107566516
590800,45.74,0.43,-0.17,0,0.347092917,4.121876617,0.107558557
593600,44.84,0.43,-0.2,0,0.347197006,4.124514797,0.107580645
596400,47.91,0.46,-0.19,0,0.347400847,4.124615065,0.107582455
599200,48.69,0.47,-0.18,0,0.34745681,4.121936245,0.107530299
602000,49.62,0.43,-0.16,0,0.347490643,4.1173425,0.107543402
604800,49.54,0.5,-0.17,0,0.347610653,4.124792508,0.107599484
607600,57.14,0.48,-0.17,0,0.347439506,4.11457576,0.107540709
610400,59.75,0.47,-0.17,0,0.347528015,4.114081984,0.107535015
613200,63.99,0.5,-0.18,0,0.348135458,4.118043859,0.107603739
616000,63.93,0.5,-0.17,0,0.347965518,4.122564695,0.107636467
618800,64.07,0.51,-0.15,0,0.348393319,4.119171178,0.107688647
621600,66.47,0.52,-0.14,0,0.348350893,4.120937576,0.107716174
624400,69.87,0.51,-0.16,0,0.348527731,4.125723444,0.107790784
627200,69.51,0.51,-0.14,0.01,0.348271195,4.123040789,0.10775196
630000,70.79,0.48,-0.12,0.01,0.348468489,4.124765991,0.1078026
632800,63.63,0.5,-0.13,0.01,0.348103752,4.127722608,0.107742701
635600,62.07,0.52,-0.14,0.01,0.347944135,4.129830741,0.107768969
638400,62.54,0.48,-0.12,0.01,0.348080778,4.127124821,0.107834396
641200,63.37,0.5,-0.13,0.01,0.34802249,4.124205296,0.107790521
644000,64.57,0.46,-0.14,0.01,0.347653924,4.120360733,0.107706553
646800,61.07,0.44,-0.12,0.01,0.34748138,4.12108431,0.107720398
649600,58.03,0.45,-0.15,0,0.347680047,4.120520484,0.10778121
652400,57.05,0.38,-0.18,0,0.347626201,4.119355538,0.107773251
655200,59.19,0.36,-0.17,0,0.347920235,4.112173141,0.107755952
658000,61.45,0.37,-0.15,0,0.347686399,4.115631594,0.107748622
660800,61.6,0.36,-0.12,0,0.347420978,4.112091507,0.10764833
663600,62.75,0.37,-0.12,0,0.347295439,4.109542258,0.107611449
666400,59.48,0.37,-0.14,0,0.347488546,4.111082872,0.107662187
669200,62.49,0.4,-0.14,0,0.347065765,4.106676103,0.107613406
672000,63.55,0.4,-0.12,0,0.347250622,4.114597576,0.107617786
674800,59.86,0.41,-0.13,0,0.347400996,4.106713013,0.107638698
677600,52.4,0.44,-0.17,0,0.347633492,4.102682357,0.10767948
680400,52.11,0.4,-0.18,0,0.348090715,4.106681613,0.107702344
683200,54.98,0.38,-0.2,0,0.348019946,4.110134368,0.107732822
686000,53.7,0.34,-0.18,0,0.347971699,4.110827643,0.107765216
688800,57.55,0.41,-0.19,0,0.348230779,4.106468404,0.107790129
691600,53.26,0.45,-0.19,0.01,0.348297596,4.107774812,0.10779475
694400,49.61,0.42,-0.15,0.02,0.348165037,4.106762234,0.107768466
697200,54.67,0.44,-0.15,0.02,0.3479819,4.10305906,0.107745392
700000,58.53,0.39,-0.11,0.02,0.347583781,4.107525151,0.107714787
702800,59.9,0.39,-0.1,0.03,0.347600994,4.101913657,0.107764101
705600,61.56,0.39,-0.1,0.03,0.347602088,4.100410887,0.107756262
708400,64.04,0.36,-0.14,0.03,0.347758263,4.10103754,0.107743027
711200,62.44,0.34,-0.13,0.03,0.347355139,4.097129787,0.107680992
714000,60.83,0.27,-0.11,0.02,0.347602676,4.094530791,0.107676923
716800,65.56,0.26,-0.13,0.02,0.347493648,4.103969178,0.107660381
719600,62.44,0.28,-0.13,0.01,0.347599121,4.095929113,0.107635175
722400,58.69,0.32,-0.18,0.01,0.347768726,4.095468805,0.107670803
725200,53.12,0.3,-0.19,0,0.347816724,4.098608047,0.107693216
728000,51.45,0.32,-0.17,0,0.348153714,4.093542572,0.107712552
730800,49.56,0.33,-0.14,0.01,0.348355426,4.09630637,0.107742739
733600,47.63,0.33,-0.17,0.01,0.348262109,4.096263815,0.107685143
736400,48.72,0.34,-0.16,0.01,0.348382927,4.093325663,0.107717273
739200,48.84,0.35,-0.14,0.02,0.348357683,4.100114659,0.107692701
742000,49.55,0.32,-0.15,0.02,0.348409742,4.102546221,0.107704866
744800,52.65,0.31,-0.11,0.02,0.348427196,4.095684359,0.107690248
747600,55.71,0.34,-0.09,0.02,0.348243926,4.09448859,0.107615949
750400,55.44,0.35,-0.09,0.02,0.348436893,4.093657855,0.107614426
753200,55.01,0.41,-0.12,0.01,0.348401093,4.09405526,0.107609688
756000,57.17,0.38,-0.12,0.01,0.348217849,4.095908136,0.107599543
758800,61.19,0.37,-0.1,0.01,0.348421858,4.099371888,0.107662694
761600,60.59,0.36,-0.11,0.01,0.348467597,4.097861075,0.10770039
764400,59.72,0.4,-0.13,0,0.348600487,4.090154455,0.107674755
767200,56.44,0.39,-0.12,0,0.348706429,4.093430539,0.107704207
770000,58.54,0.44,-0.14,0,0.348608418,4.094775734,0.10770962
772800,58.78,0.42,-0.16,0,0.348652925,4.091821243,0.107715409
775600,57.94,0.39,-0.13,0,0.348639128,4.09041765,0.107676037
778400,56.52,0.41,-0.13,0,0.348844524,4.089945523,0.107715105
781200,53.55,0.42,-0.15,0,0.348605953,4.090281359,0.107680197
784000,54.32,0.42,-0.13,0,0.34852965,4.090784436,0.107606296
786800,52.66,0.39,-0.15,0,0.348437834,4.093404438,0.107597121
789600,54.84,0.41,-0.15,0,0.348244731,4.086782159,0.107571614
792400,58.54,0.45,-0.17,0,0.348495172,4.086555675,0.10756818
795200,58.81,0.44,-0.15,0,0.348521418,4.086664593,0.107564714
798000,61.71,0.42,-0.14,0,0.348105085,4.089318957,0.107545582
800800,60.97,0.44,-0.14,0,0.348084506,4.091180321,0.107545723
803600,60.34,0.47,-0.14,0,0.347964801,4.08831122,0.107551173
806400,62.7,0.44,-0.12,0,0.3480564,4.087209948,0.107555998
809200,67.43,0.43,-0.12,0,0.348024288,4.088200518,0.107582282
812000,68.68,0.43,-0.11,0,0.348098106,4.084508506,0.107556173
814800,72.62,0.45,-0.1,0,0.348017216,4.085601083,0.107547103
817600,72.2,0.43,-0.12,0,0.34784446,4.08848929,0.107513474
820400,67.81,0.36,-0.09,0,0.347507183,4.08479082,0.10751585
823200,65.63,0.39,-0.12,0,0.347566379,4.085382205,0.1075214
826000,66.6,0.38,-0.14,0,0.347502129,4.078772011,0.107444415
828800,70.82,0.35,-0.14,0,0.347581838,4.082010885,0.10746567
831600,71.88,0.38,-0.14,0,0.347519617,4.081453413,0.107454951
834400,70.72,0.39,-0.13,0,0.347557715,4.080675792,0.10745313
837200,66.61,0.36,-0.16,0,0.347576808,4.080364464,0.107417481
840000,62.85,0.39,-0.15,0,0.347571225,4.078411853,0.107442362
842800,65.62,0.41,-0.17,0,0.347704672,4.080334705,0.107425739
845600,65.62,0.44,-0.14,0.01,0.347821034,4.078892134,0.107427281
848400,67.03,0.45,-0.12,0.02,0.347517421,4.077919341,0.10740813
851200,64.95,0.43,-0.12,0.02,0.347663602,4.075496783,0.107429277
854000,61.07,0.37,-0.13,0.02,0.347630094,4.07508542,0.107443592
856800,60.13,0.4,-0.14,0.02,0.347691764,4.076105003,0.107443705
