timesteps_total,custom_metrics/game_result/score_reward_episode_mean,custom_metrics/game_result/win_percentage_episode_mean,sampler_perf/mean_raw_obs_processing_ms,sampler_perf/mean_inference_ms,sampler_perf/mean_action_processing_ms
52500,-0.29,0,0.315551456,1.913268092,0.106010033
53200,-0.28,0,0.316043438,1.913252565,0.10599268
53900,-0.29,0,0.3162523,1.913181693,0.105979404
54600,-0.3,0,0.315835723,1.912999779,0.105887033
55300,-0.31,0,0.315966374,1.913318095,0.1058759
56000,-0.3,0,0.316045725,1.915074961,0.105838406
56700,-0.32,0,0.316684596,1.915199111,0.105846449
57400,-0.32,0,0.316696504,1.91628184,0.105798756
58100,-0.3,0,0.316783903,1.916840365,0.105761819
58800,-0.3,0,0.316954187,1.919060276,0.105802244
59500,-0.3,0,0.316954187,1.919060276,0.105802244
60200,-0.3,0,0.316808842,1.917674577,0.105839466
60900,-0.3,0,0.316975109,1.917395831,0.105860401
61600,-0.29,0,0.316737095,1.917040015,0.105926371
62300,-0.28,0,0.316709411,1.919525036,0.105975141
63000,-0.26,0,0.31636527,1.92108125,0.106037237
63700,-0.24,0,0.315791319,1.922005244,0.106034943
64400,-0.25,0,0.316092215,1.921787444,0.106142631
65100,-0.23,0,0.31623057,1.923487176,0.106215605
65800,-0.21,0,0.316346054,1.927441122,0.106312863
66500,-0.21,0,0.316773786,1.92649467,0.106416126
67200,-0.2,0,0.316643517,1.926920905,0.106450669
67900,-0.19,0,0.317142172,1.928337312,0.106577945
68600,-0.17,0,0.31788771,1.92821579,0.106644185
69300,-0.17,0,0.317473214,1.92754679,0.106629963
70000,-0.18,0,0.317475158,1.923570977,0.106666374
70700,-0.18,0,0.317798443,1.92268108,0.106657511
71400,-0.18,0,0.319047884,1.922059573,0.106805959
72100,-0.19,0,0.319317746,1.918980702,0.106807351
72800,-0.18,0,0.319432522,1.917685892,0.106777476
73500,-0.17,0,0.319755176,1.918447899,0.106788238
74200,-0.16,0,0.319653924,1.919326638,0.106757841
74900,-0.17,0,0.319874077,1.917930763,0.106720475
75600,-0.16,0,0.321493173,1.917107871,0.106885403
76300,-0.16,0,0.321476891,1.916501475,0.106860271
77000,-0.15,0,0.321542274,1.915306199,0.106891057
77700,-0.15,0,0.321738517,1.914427921,0.106926367
78400,-0.15,0,0.322051721,1.914140471,0.106981592
79100,-0.14,0,0.322271639,1.912870348,0.107035989
79800,-0.14,0,0.322590296,1.912584802,0.107088958
80500,-0.14,0,0.322922104,1.912691924,0.107178535
81200,-0.14,0,0.323344181,1.911512513,0.107256365
81900,-0.14,0,0.323344181,1.911512513,0.107256365
82600,-0.14,0,0.323275021,1.911805413,0.107199621
83300,-0.14,0,0.323410232,1.912430686,0.107162965
84000,-0.14,0,0.323607911,1.91195281,0.107200179
84700,-0.12,0,0.324029965,1.912745792,0.107254531
85400,-0.12,0,0.323691622,1.913659865,0.107252283
86100,-0.12,0,0.323691622,1.913659865,0.107252283
86800,-0.12,0,0.32414875,1.912511887,0.107279461
87500,-0.12,0,0.324053002,1.910720496,0.107302273
88200,-0.12,0,0.323977309,1.910541691,0.107226917
88900,-0.12,0,0.324255553,1.910006201,0.107255123
89600,-0.11,0,0.324236898,1.909956753,0.107300776
90300,-0.11,0,0.324454548,1.910001597,0.107386967
91000,-0.11,0,0.324188817,1.910050079,0.107428676
91700,-0.13,0,0.324569014,1.90823243,0.107502925
92400,-0.13,0,0.324880539,1.907033342,0.107460341
93100,-0.13,0,0.325012308,1.905118277,0.107381501
93800,-0.13,0,0.324926884,1.904242254,0.107337838
94500,-0.13,0,0.324728641,1.902259168,0.10731492
95200,-0.12,0,0.324964775,1.900915948,0.107360217
95900,-0.12,0,0.324931789,1.900127929,0.107435102
96600,-0.11,0,0.324483444,1.899422058,0.107409066
97300,-0.12,0,0.324654318,1.897126904,0.107431625
98000,-0.13,0,0.32480756,1.895937867,0.107397973
