timesteps_total,custom_metrics/game_result/num_pass_attempts_mean,custom_metrics/game_result/num_pass_success_mean,custom_metrics/game_result/score_reward_episode_mean,custom_metrics/game_result/win_percentage_episode_mean,sampler_perf/mean_raw_obs_processing_ms,sampler_perf/mean_inference_ms,sampler_perf/mean_action_processing_ms
344400,52.6,0.25,-0.11,0.01,0.34533648,3.850468145,0.106031125
347200,53.46,0.25,-0.11,0,0.345378387,3.849766671,0.106013274
350000,51.09,0.23,-0.09,0,0.345811611,3.849900523,0.105947391
352800,49.76,0.24,-0.11,0,0.345534502,3.850014495,0.105962275
355600,48.87,0.21,-0.1,0,0.345442092,3.849218431,0.106036234
358400,48.42,0.18,-0.14,0,0.345475394,3.847087562,0.106051654
361200,48.27,0.17,-0.15,0,0.345974489,3.846824545,0.1060308
364000,46.51,0.19,-0.15,0,0.346209415,3.845456021,0.105943835
366800,46.16,0.18,-0.18,0,0.346621647,3.845458629,0.1059845
369600,45.99,0.18,-0.18,0,0.346201809,3.844121875,0.106017348
372400,46.2,0.16,-0.18,0,0.346679515,3.844125638,0.1059818
375200,45.42,0.13,-0.2,0,0.347575523,3.843881363,0.105983844
378000,44.37,0.13,-0.18,0,0.347542221,3.843664946,0.105949003
380800,44.53,0.15,-0.17,0,0.347672258,3.844782234,0.105949944
383600,45.64,0.16,-0.13,0,0.348139801,3.844881858,0.105977728
386400,41.29,0.19,-0.1,0,0.348415347,3.845910859,0.105995404
389200,41.9,0.21,-0.11,0,0.348394288,3.845606898,0.10599201
392000,43.99,0.22,-0.08,0.01,0.348687311,3.846081752,0.105951993
394800,45.1,0.23,-0.1,0.01,0.349067089,3.847678462,0.105989532
397600,43.91,0.25,-0.08,0.02,0.349423788,3.846785285,0.106034622
400400,47.68,0.25,-0.09,0.02,0.349451074,3.846546429,0.106068036
403200,44.74,0.28,-0.1,0.02,0.349729489,3.847483061,0.106046474
406000,48.17,0.29,-0.11,0.02,0.349411904,3.848052735,0.106029495
408800,49.33,0.34,-0.14,0.02,0.350328234,3.848049013,0.105992878
411600,48.35,0.36,-0.14,0.02,0.350741353,3.849135274,0.105973121
414400,50.15,0.37,-0.13,0.01,0.350344339,3.848632119,0.105975749
417200,49.03,0.37,-0.15,0.01,0.350416877,3.847504682,0.105922924
420000,46.72,0.42,-0.16,0.03,0.350268511,3.848158829,0.105893523
422800,46.46,0.48,-0.13,0.03,0.349878077,3.846945181,0.105914088
425600,44.57,0.44,-0.13,0.04,0.349359845,3.845363554,0.105977613
428400,42.82,0.33,-0.11,0.04,0.34947858,3.846406286,0.105949832
431200,44.8,0.35,-0.12,0.04,0.349169373,3.846193722,0.105968105
434000,41.81,0.36,-0.09,0.05,0.3496973,3.84661193,0.10593236
436800,38.21,0.31,-0.09,0.04,0.349747641,3.846948698,0.106003272
439600,40.48,0.23,-0.11,0.02,0.349905676,3.846936444,0.106030498
442400,38.3,0.2,-0.12,0.02,0.350682337,3.849772371,0.105990288
445200,39.08,0.18,-0.13,0.03,0.351171561,3.849511955,0.106010672
448000,41.36,0.22,-0.12,0.03,0.351024308,3.848440265,0.105995464
450800,38.16,0.22,-0.11,0.02,0.352005218,3.847668008,0.105985311
453600,38.26,0.22,-0.09,0.03,0.352323888,3.847322032,0.105959402
456400,36.48,0.27,-0.1,0.03,0.352459387,3.846820749,0.105980331
459200,36.76,0.28,-0.09,0.03,0.353084851,3.846908169,0.105900921
462000,38.47,0.28,-0.08,0.01,0.352925532,3.847557226,0.10588855
464800,35.86,0.25,-0.09,0.01,0.352985287,3.84952279,0.105836485
467600,37.38,0.3,-0.1,0.01,0.353419254,3.847950219,0.105865961
470400,37.72,0.32,-0.1,0.01,0.353039416,3.848300323,0.105899389
473200,35.72,0.3,-0.13,0,0.352680867,3.849413357,0.10594113
476000,37.32,0.32,-0.14,0,0.353038844,3.849302019,0.105931088
478800,36.35,0.32,-0.14,0,0.353308148,3.847627536,0.105969655
481600,38.04,0.34,-0.15,0,0.353849754,3.847162045,0.105977261
